date,close,ticker
2025-05-21,168.35618591308594,GOOGL
2025-05-22,170.66339111328125,GOOGL
2025-05-23,168.26629638671875,GOOGL
2025-05-27,172.69093322753906,GOOGL
2025-05-28,172.15159606933594,GOOGL
2025-05-29,171.65219116210938,GOOGL
2025-05-30,171.5323486328125,GOOGL
2025-06-02,168.82562255859375,GOOGL
2025-06-03,165.97906494140625,GOOGL
2025-06-04,167.8468017578125,GOOGL
2025-06-05,168.00662231445312,GOOGL
2025-06-06,173.46998596191406,GOOGL
2025-06-09,176.08999633789062,GOOGL
2025-06-10,178.60000610351562,GOOGL
2025-06-11,177.35000610351562,GOOGL
2025-06-12,175.6999969482422,GOOGL
2025-06-13,174.6699981689453,GOOGL
2025-06-16,176.77000427246094,GOOGL
2025-06-17,175.9499969482422,GOOGL
2025-06-18,173.32000732421875,GOOGL
2025-06-20,166.63999938964844,GOOGL
2025-06-23,165.19000244140625,GOOGL
2025-06-24,166.77000427246094,GOOGL
2025-06-25,170.67999267578125,GOOGL
2025-06-26,173.5399932861328,GOOGL
2025-06-27,178.52999877929688,GOOGL
2025-06-30,176.22999572753906,GOOGL
2025-07-01,175.83999633789062,GOOGL
2025-07-02,178.63999938964844,GOOGL
2025-07-03,179.52999877929688,GOOGL
2025-07-07,176.7899932861328,GOOGL
2025-07-08,174.36000061035156,GOOGL
2025-07-09,176.6199951171875,GOOGL
2025-07-10,177.6199951171875,GOOGL
2025-07-11,180.19000244140625,GOOGL
2025-07-14,181.55999755859375,GOOGL
2025-07-15,182.0,GOOGL
2025-07-16,182.97000122070312,GOOGL
2025-07-17,183.5800018310547,GOOGL
2025-07-18,185.05999755859375,GOOGL
2025-07-21,190.10000610351562,GOOGL
2025-07-22,191.33999633789062,GOOGL
2025-07-23,190.22999572753906,GOOGL
2025-07-24,192.1699981689453,GOOGL
2025-07-25,193.17999267578125,GOOGL
2025-07-28,192.5800018310547,GOOGL
2025-07-29,195.75,GOOGL
2025-07-30,196.52999877929688,GOOGL
2025-07-31,191.89999389648438,GOOGL
2025-08-01,189.1300048828125,GOOGL
2025-08-04,195.0399932861328,GOOGL
2025-08-05,194.6699981689453,GOOGL
2025-08-06,196.08999633789062,GOOGL
2025-08-07,196.52000427246094,GOOGL
2025-08-08,201.4199981689453,GOOGL
2025-08-11,201.0,GOOGL
2025-08-12,203.33999633789062,GOOGL
2025-08-13,201.9600067138672,GOOGL
2025-08-14,202.94000244140625,GOOGL
2025-08-15,203.89999389648438,GOOGL
2025-08-18,203.5,GOOGL
2025-08-19,201.57000732421875,GOOGL
2025-08-20,199.32000732421875,GOOGL
