date,adj_close
2025-08-18 11:40:00,230.71
2025-08-18 11:45:00,230.91
2025-08-18 11:50:00,230.84
2025-08-18 11:55:00,230.905
2025-08-18 12:00:00,230.87
2025-08-18 12:05:00,231.036
2025-08-18 12:10:00,230.7685
2025-08-18 12:15:00,231.005
2025-08-18 12:20:00,230.751
2025-08-18 12:25:00,230.68
2025-08-18 12:30:00,230.48
2025-08-18 12:35:00,230.35
2025-08-18 12:40:00,230.245
2025-08-18 12:45:00,230.2484
2025-08-18 12:50:00,230.29
2025-08-18 12:55:00,230.595
2025-08-18 13:00:00,230.765
2025-08-18 13:05:00,230.795
2025-08-18 13:10:00,230.84
2025-08-18 13:15:00,231.01
2025-08-18 13:20:00,230.99
2025-08-18 13:25:00,231.07
2025-08-18 13:30:00,231.33
2025-08-18 13:35:00,231.23
2025-08-18 13:40:00,231.03
2025-08-18 13:45:00,230.98
2025-08-18 13:50:00,231.0072
2025-08-18 13:55:00,231.08
2025-08-18 14:00:00,231.1084
2025-08-18 14:05:00,231.255
2025-08-18 14:10:00,231.16
2025-08-18 14:15:00,231.111
2025-08-18 14:20:00,231.11
2025-08-18 14:25:00,231.145
2025-08-18 14:30:00,231.19
2025-08-18 14:35:00,231.24
2025-08-18 14:40:00,231.235
2025-08-18 14:45:00,231.14
2025-08-18 14:50:00,231.45
2025-08-18 14:55:00,231.47
2025-08-18 15:00:00,231.655
2025-08-18 15:05:00,231.491
2025-08-18 15:10:00,231.275
2025-08-18 15:15:00,231.3801
2025-08-18 15:20:00,231.4
2025-08-18 15:25:00,231.225
2025-08-18 15:30:00,231.3
2025-08-18 15:35:00,231.4006
2025-08-18 15:40:00,231.365
2025-08-18 15:45:00,231.34
2025-08-18 15:50:00,231.495
2025-08-18 15:55:00,230.88
2025-08-18 16:00:00,231.09
2025-08-18 16:05:00,230.95
2025-08-18 16:10:00,230.92
2025-08-18 16:15:00,230.91
2025-08-18 16:20:00,230.85
2025-08-18 16:25:00,230.84
2025-08-18 16:30:00,230.8
2025-08-18 16:35:00,230.81
2025-08-18 16:40:00,230.83
2025-08-18 16:45:00,230.88
2025-08-18 16:50:00,230.83
2025-08-18 16:55:00,227.2084
2025-08-18 17:00:00,245.2882
2025-08-18 17:05:00,230.84
2025-08-18 17:10:00,230.84
2025-08-18 17:15:00,230.84
2025-08-18 17:20:00,230.89
2025-08-18 17:25:00,230.95
2025-08-18 17:30:00,230.96
2025-08-18 17:35:00,230.9893
2025-08-18 17:40:00,231.04
2025-08-18 17:45:00,231.1
2025-08-18 17:50:00,230.99
2025-08-18 17:55:00,230.9201
2025-08-18 18:00:00,231.09
2025-08-18 18:05:00,231.08
2025-08-18 18:10:00,231.14
2025-08-18 18:15:00,231.16
2025-08-18 18:20:00,231.19
2025-08-18 18:25:00,231.19
2025-08-18 18:30:00,231.19
2025-08-18 18:35:00,231.18
2025-08-18 18:40:00,230.95
2025-08-18 18:45:00,230.95
2025-08-18 18:50:00,231.01
2025-08-18 18:55:00,231.05
2025-08-18 19:00:00,231.13
2025-08-18 19:05:00,231.0
2025-08-18 19:10:00,231.1
2025-08-18 19:15:00,230.9317
2025-08-18 19:20:00,230.91
2025-08-18 19:25:00,230.91
2025-08-18 19:30:00,230.9
2025-08-18 19:35:00,230.9
2025-08-18 19:40:00,230.853
2025-08-18 19:45:00,230.89
2025-08-18 19:50:00,230.9
2025-08-18 19:55:00,230.9
